cit_female,cit_injure,year,month,policy
0,0.1402715,2013,4,0
1,0.12727273,2013,4,0
0,0.28840971,2013,8,0
1,0.10126583,2013,8,0
0,0.16444445,2013,12,0
1,0.18055555,2013,12,0
0,0.17021276,2013,2,0
1,0.060606062,2013,2,0
0,0.13944224,2013,1,0
1,0.01923077,2013,1,0
0,0.18965517,2013,7,0
1,0.092307694,2013,7,0
0,0.176781,2013,6,0
1,0.31999999,2013,6,0
0,0.18045112,2013,3,0
1,0.11538462,2013,3,0
0,0.13103448,2013,5,0
1,0.10344828,2013,5,0
0,0.1923077,2013,11,0
1,0.28260869,2013,11,0
0,0.23684211,2013,10,0
1,0.1923077,2013,10,0
0,0.2724359,2013,9,0
1,0.13846155,2013,9,0
0,0.22594142,2014,4,0
1,0.2,2014,4,0
0,0.3114754,2014,8,1
1,0.28358209,2014,8,1
0,0.2760736,2014,12,1
1,0.21818182,2014,12,1
0,0.31075698,2014,2,0
1,0.14516129,2014,2,0
0,0.31164384,2014,1,0
1,0.16666667,2014,1,0
0,0.34761906,2014,7,0
1,0.16666667,2014,7,0
0,0.33935019,2014,6,0
1,0.203125,2014,6,0
0,0.32786885,2014,3,0
1,0.14285715,2014,3,0
0,0.3041825,2014,5,0
1,0.13114753,2014,5,0
0,0.36018959,2014,11,1
1,0.3611111,2014,11,1
0,0.29292929,2014,10,1
1,0.29850745,2014,10,1
0,0.35964912,2014,9,1
1,0.22727273,2014,9,1
0,0.3253012,2015,4,1
1,0.19354838,2015,4,1
0,0.21259843,2015,8,1
1,0.06122449,2015,8,1
0,0.31205675,2015,12,1
1,0.13333334,2015,12,1
0,0.29310346,2015,2,1
1,0.29411766,2015,2,1
0,0.30718955,2015,1,1
1,0.21052632,2015,1,1
0,0.26785713,2015,7,1
1,0.19444445,2015,7,1
0,0.27450982,2015,6,1
1,0.30000001,2015,6,1
0,0.24390244,2015,3,1
1,0.27272728,2015,3,1
0,0.28682169,2015,5,1
1,0.21621622,2015,5,1
0,0.20394737,2015,11,1
1,0.10526316,2015,11,1
0,0.27516779,2015,10,1
1,0.15151516,2015,10,1
0,0.18471338,2015,9,1
1,0.25925925,2015,9,1
0,0.26519337,2016,4,1
1,0.17021276,2016,4,1
0,0.2682927,2016,8,1
1,0.10714286,2016,8,1
0,0.22499999,2016,12,1
1,0,2016,12,1
0,0.37305701,2016,2,1
1,0.3442623,2016,2,1
0,0.26262626,2016,1,1
1,0.29411766,2016,1,1
0,0.31292516,2016,7,1
1,0.24242425,2016,7,1
0,0.2972973,2016,6,1
1,0.33333334,2016,6,1
0,0.2117117,2016,3,1
1,0.19047619,2016,3,1
0,0.2631579,2016,5,1
1,0.21428572,2016,5,1
0,0.33333334,2016,11,1
1,0,2016,11,1
0,0.22307692,2016,10,1
1,0.125,2016,10,1
0,0.27710843,2016,9,1
1,0.21951219,2016,9,1
0,0.24090908,2017,4,1
1,0.27272728,2017,4,1
0,0.35135135,2017,8,1
1,0.28,2017,8,1
0,0.22962964,2017,12,1
1,0.21212122,2017,12,1
0,0.30379745,2017,2,1
1,0.125,2017,2,1
0,0.20430107,2017,1,1
1,0.14285715,2017,1,1
0,0.41935483,2017,7,1
1,0.35897437,2017,7,1
0,0.28971961,2017,6,1
1,0.4848485,2017,6,1
0,0.29411766,2017,3,1
1,0.16923077,2017,3,1
0,0.26865673,2017,5,1
1,0.23076923,2017,5,1
0,0.273743,2017,11,1
1,0.16666667,2017,11,1
0,0.34931508,2017,10,1
1,0.1,2017,10,1
0,0.30872482,2017,9,1
1,0.20512821,2017,9,1
0,0.30890054,2018,4,1
1,0.14893617,2018,4,1
0,0.43030304,2018,8,1
1,0.33333334,2018,8,1
0,0.21338913,2018,12,1
1,0.17021276,2018,12,1
0,0.14184397,2018,2,1
1,0.19512194,2018,2,1
0,0.27906978,2018,1,1
1,0.15789473,2018,1,1
0,0.3622449,2018,7,1
1,0.2,2018,7,1
0,0.28248587,2018,6,1
1,0.1509434,2018,6,1
0,0.31868133,2018,3,1
1,0.20930232,2018,3,1
0,0.37349397,2018,5,1
1,0.28947368,2018,5,1
0,0.28415301,2018,11,1
1,0.2631579,2018,11,1
0,0.41221374,2018,10,1
1,0.19047619,2018,10,1
0,0.22891566,2018,9,1
1,0.14893617,2018,9,1
0,0.24152543,2019,4,1
1,0.1923077,2019,4,1
0,0.26630434,2019,8,1
1,0.21428572,2019,8,1
0,0.25,2019,12,1
1,0.071428575,2019,12,1
0,0.24757281,2019,2,1
1,0.2,2019,2,1
0,0.25118482,2019,1,1
1,0.13513513,2019,1,1
0,0.31645569,2019,7,1
1,0.073170729,2019,7,1
0,0.30039525,2019,6,1
1,0.20930232,2019,6,1
0,0.27461141,2019,3,1
1,0.17142858,2019,3,1
0,0.22134387,2019,5,1
1,0.13636364,2019,5,1
0,0.18085106,2019,11,1
1,0.2,2019,11,1
0,0.22619048,2019,10,1
1,0.054054055,2019,10,1
0,0.19615385,2019,9,1
1,0.12,2019,9,1
