VarName,a2016,a2017,a2018,,,,,,
GISJOIN,GISJOIN,GISJOIN,GISJOIN,,,,,,
Year,Year,Year,Year,,,,,,
CountyFIPS,CountyFIPS,CountyFIPS,CountyFIPS,,,,,,
County,County,County,CountyName,,,,,,
Population ,Population 2016,Population,Population 2018,,,,,,
IC_Count,Index Crime Count,Index Crime Count,IC Count,,,,,,
IC_Rate,Index Crime Rate,Index Crime Rate,IC Rate,,,,,,
VC_Count,Violent Crime Count,Violent Crime Count,VC Count,,,,,,
VC_Rate,Violent Crime Rate,Violent Crime Rate,VC Rate,,,,,,
PC_Count,Property Crime Count,Property Crime Count,PC Count,,,,,,
PC_Rate,Property Crime Rate,Property Crime Rate,PC Rate,,,,,,
NY,New York City,New York City,New York City,,,,,,
